@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/eng/sl/lintrack/miniconda2/bin/python '/afs/cern.ch/eng/sl/lintrack/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/twiss.dat' '--files=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean' '--output=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Results/b1_30cm_beforeKmod' '--tbtana=SUSSIX' '--bpmu=mm' '--useerrorofmean=false' '--lhcphase=0' '--errordefs=/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/models/LHCB1/b1_30cm_forlocal_2022/error_deff.txt' '--calibration=/afs/cern.ch/eng/sl/lintrack/LHC_commissioning2017/Calibration_factors_2017/Calibration_factors_2017_beam1' '--range=11'"
@ CWD %s "/nfs/cs-ccr-nfsop/nfs2/vol1/u1/lhcop"
@ Date %s "28. April 2022, 01:17:57"
@ Q1 %le 0.27998806745173926
@ MUX %le 63.27998806745176
@ Q2 %le 0.30998589849523894
@ MUY %le 60.30998589849529
@ FILES %s "/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_45_02_462-1_6600/Beam1@Turn@2022_04_27@22_45_02_462.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_47_00_319-1_6600/Beam1@Turn@2022_04_27@22_47_00_319.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_48_29_082-1_6600/Beam1@Turn@2022_04_27@22_48_29_082.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_50_43_853-1_6600/Beam1@Turn@2022_04_27@22_50_43_853.sdds.clean_liny,/user/slops/data/LHC_DATA/OP_DATA/Betabeat/2022-04-27/LHCB1/Measurements/Beam1@Turn@2022_04_27@22_52_01_475-1_6600/Beam1@Turn@2022_04_27@22_52_01_475.sdds.clean_liny"
*                 NAME                NAME2                    S                   S1                COUNT               PHASEY               STDPHY               PHYMDL               MUYMDL
$                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le
         "BPM.26R2.B1"        "BPM.27R2.B1"             1428.499          1481.947997                    5          0.228316845     0.00204707080561          0.131855835          3.456132534
         "BPM.27R2.B1"        "BPM.28R2.B1"             1481.948          1535.396513                    5          0.075214986   0.0009004651282656          0.111290359          3.587988369
         "BPM.28R2.B1"        "BPM.29R2.B1"             1535.397          1588.845029                    5          0.067728901   0.0006807531454329          0.132352226          3.699278728
         "BPM.29R2.B1"        "BPM.30R2.B1"             1588.845          1642.293545                    5          0.104255588    0.001597694447795          0.110493118          3.831630954
         "BPM.30R2.B1"        "BPM.31R2.B1"             1642.294           1695.74206                    5          0.237586285    0.001561556732086          0.131775076          3.942124072
         "BPM.31R2.B1"        "BPM.32R2.B1"             1695.742          1749.190576                    5          0.082307184   0.0009233117685996          0.111245731          4.073899148
         "BPM.32R2.B1"        "BPM.33R2.B1"             1749.191          1802.639092                    5          0.066948463   0.0007913597052189          0.132428997          4.185144879
         "BPM.33R2.B1"        "BPM.34R2.B1"             1802.639          1856.087608                    5          0.087762735   0.0009518240608735          0.110543092          4.317573876
         "BPM.34R2.B1"        "BPM.33L3.B1"             1856.088          1909.536124                    5          0.246037437   0.0009582182207334          0.131703965          4.428116968
         "BPM.33L3.B1"        "BPM.32L3.B1"             1909.536           1962.98464                    5          0.091620498   0.0009170292444825          0.111189714          4.559820933
         "BPM.32L3.B1"        "BPM.31L3.B1"             1962.985          2016.433156                    5          0.068530638    0.001170511469344          0.132495012          4.671010647
         "BPM.31L3.B1"        "BPM.30L3.B1"             2016.433          2069.881672                    5          0.079399479    0.001014799109727          0.110603599          4.803505659
         "BPM.30L3.B1"        "BPM.29L3.B1"             2069.882          2123.330188                    5          0.241621426    0.001124072458326          0.131644693          4.914109258
         "BPM.29L3.B1"        "BPM.28L3.B1"              2123.33          2176.778704                    5          0.102569934   0.0009576635187229          0.111124079          5.045753951
         "BPM.28L3.B1"        "BPM.27L3.B1"             2176.779           2230.22722                    5          0.070222718    0.001036211536168          0.132548186           5.15687803
         "BPM.27L3.B1"        "BPM.26L3.B1"             2230.227          2283.675735                    5          0.073919221   0.0004681598626379          0.110672778          5.289426216
         "BPM.26L3.B1"        "BPM.25L3.B1"             2283.676          2337.124251                    5           0.23439085   0.0005612760261854          0.131599084          5.400098994
         "BPM.25L3.B1"        "BPM.24L3.B1"             2337.124          2390.572767                    5         0.1137816602   0.0005406952537862          0.111050896          5.531698078
         "BPM.24L3.B1"        "BPM.23L3.B1"             2390.573          2444.021283                    5         0.0720791958   0.0007209448191878          0.132586839          5.642748974
         "BPM.23L3.B1"        "BPM.22L3.B1"             2444.021          2497.469799                    5          0.066648327    0.001374933665003          0.110748493          5.775335813
         "BPM.22L3.B1"        "BPM.21L3.B1"              2497.47          2550.918315                    5           0.22552807    0.001594965677313          0.131568537          5.886084306
         "BPM.21L3.B1"        "BPM.20L3.B1"             2550.918          2604.366831                    5          0.123357074   0.0008165941930487           0.10731038          6.017652843
         "BPM.20L3.B1"        "BPM.19L3.B1"             2604.367          2657.815347                    5          0.070791248   0.0004711319478444          0.128003117          6.124963223
         "BPM.19L3.B1"        "BPM.18L3.B1"             2657.815          2711.263863                    5          0.059427431   0.0006259392997879          0.111075656           6.25296634
         "BPM.18L3.B1"        "BPM.17L3.B1"             2711.264          2764.712379                    5           0.19116703    0.001164974867524          0.132167856          6.364041996
         "BPM.17L3.B1"        "BPM.16L3.B1"             2764.712          2818.160894                    5          0.157472356    0.001683100425996          0.107785618          6.496209852
         "BPM.16L3.B1"        "BPM.15L3.B1"             2818.161           2871.60941                    5          0.077954058   0.0008443443940905          0.127506857           6.60399547
         "BPM.15L3.B1"        "BPM.14L3.B1"             2871.609          2925.057926                    5          0.052357846   0.0008182139209499           0.11051493          6.731502327
         "BPM.14L3.B1"        "BPM.13L3.B1"             2925.058          2978.506442                    5          0.144062702   0.0009933951738517          0.132604492          6.842017257
         "BPM.13L3.B1"        "BPM.12L3.B1"             2978.506          3031.954958                    5       0.208565430704    0.001259229450639          0.114420198          6.974621749
         "BPM.12L3.B1"        "BPM.11L3.B1"             3031.955          3085.403474                    5       0.089750106296     0.00069487129915          0.132399952          7.089041947
         "BPM.11L3.B1"        "BPM.10L3.B1"             3085.403          3138.184185                    5          0.052433065   0.0007515974464196          0.107838413          7.221441899
         "BPM.10L3.B1"         "BPM.9L3.B1"             3138.184          3177.249195                    5          0.101832417   0.0008044501969733          0.117286801          7.329280312
          "BPM.9L3.B1"         "BPM.8L3.B1"             3177.249          3217.712206                    5           0.27865793    0.001401235333318           0.16654356          7.446567113
          "BPM.8L3.B1"         "BPM.7L3.B1"             3217.712          3256.776216                    5          0.098369708   0.0009678941638852          0.173523612          7.613110673
          "BPM.7L3.B1"         "BPM.6L3.B1"             3256.776          3329.415216                    5          0.073881756    0.001107803305168          0.119119266          7.786634285
          "BPM.6L3.B1"      "BPMWG.A5L3.B1"             3329.415          3371.119716                    5          0.059468159    0.001836639620085          0.046646283          7.905753551
       "BPMWG.A5L3.B1"        "BPMW.5L3.B1"              3371.12          3400.089716                    5          0.028356628    0.001662670187509          0.015565171          7.952399834
         "BPMW.5L3.B1"       "BPMWE.4L3.B1"              3400.09          3475.217716                    5          0.151472849    0.002079277209245          0.073364239          7.967965005
        "BPMWE.4L3.B1"        "BPMW.4R3.B1"             3475.218          3547.727716                    5           0.09503883    0.002776592927104          0.080910308          8.041329244
         "BPMW.4R3.B1"       "BPMWE.4R3.B1"             3547.728          3575.272716                    5          0.008294686   0.0004010226461414          0.011320128          8.122239552
        "BPMWE.4R3.B1"        "BPMW.5R3.B1"             3575.273          3650.400716                    5          0.044672042   0.0004229341325363          0.073587542           8.13355968
         "BPMW.5R3.B1"      "BPMWJ.A5R3.B1"             3650.401          3679.118716                    5          0.029931906    0.001133720122139          0.063447431          8.207147222
       "BPMWJ.A5R3.B1"       "BPMWC.6R3.B1"             3679.119          3718.936716                    5          0.021106318    0.001325198951796          0.044934541          8.270594653
        "BPMWC.6R3.B1"        "BPMR.6R3.B1"             3718.937          3731.015216                    5          0.003646361   0.0007222785384399          0.007664021          8.315529194
         "BPMR.6R3.B1"       "BPM_A.7R3.B1"             3731.015          3786.839216                    5          0.043702973   0.0004280073663975          0.071343272          8.323193215
        "BPM_A.7R3.B1"         "BPM.8R3.B1"             3786.839          3825.903227                    5          0.074358241   0.0004780199262128          0.061847138          8.394536487
          "BPM.8R3.B1"         "BPM.9R3.B1"             3825.903          3864.968238                    5          0.111608062    0.001076104880796          0.052681544          8.456383625
          "BPM.9R3.B1"        "BPM.10R3.B1"             3864.968          3905.431248                    5          0.111760148     0.00117577610024          0.063243284          8.509065169
         "BPM.10R3.B1"        "BPM.11R3.B1"             3905.431          3958.211959                    5          0.084901704   0.0008894066529608          0.101955635          8.572308453
         "BPM.11R3.B1"        "BPM.12R3.B1"             3958.212          4012.935475                    5          0.060438247   0.0008978147305608          0.122237937          8.674264088
         "BPM.12R3.B1"        "BPM.13R3.B1"             4012.935          4066.383991                    5          0.070946446    0.001054027981848          0.114723424          8.796502025
         "BPM.13R3.B1"        "BPM.14R3.B1"             4066.384          4119.832506                    5          0.239909629    0.001005337422405          0.130484221          8.911225449
         "BPM.14R3.B1"        "BPM.15R3.B1"             4119.833          4173.281022                    5          0.111336524   0.0004313054183268          0.106793235           9.04170967
         "BPM.15R3.B1"        "BPM.16R3.B1"             4173.281          4226.729538                    5          0.065503862    0.000496000044292          0.128974401          9.148502905
         "BPM.16R3.B1"        "BPM.17R3.B1"              4226.73          4280.178054                    5          0.057182437   0.0007013510560789          0.111745198          9.277477306
         "BPM.17R3.B1"        "BPM.18R3.B1"             4280.178           4333.62657                    5          0.208845288    0.001137577811576          0.131258505          9.389222504
         "BPM.18R3.B1"        "BPM.19R3.B1"             4333.627          4387.075086                    5          0.147885236    0.001417911487875           0.10705119          9.520481009
         "BPM.19R3.B1"        "BPM.20R3.B1"             4387.075          4440.523602                    5          0.073863415   0.0007977007453634          0.128258468          9.627532199
         "BPM.20R3.B1"        "BPM.21R3.B1"             4440.524          4493.972118                    5          0.051081644   0.0007017628327344          0.111379835          9.755790667
         "BPM.21R3.B1"        "BPM.22R3.B1"             4493.972          4547.420634                    5          0.155084272   0.0008210537395378          0.131944229          9.867170502
         "BPM.22R3.B1"        "BPM.23R3.B1"             4547.421           4600.86915                    5        0.20137519282    0.002002917116511          0.111129089          9.999114731
         "BPM.23R3.B1"        "BPM.24R3.B1"             4600.869          4654.317666                    5        0.08657604018    0.001547446798701           0.13224889          10.11024382
         "BPM.24R3.B1"        "BPM.25R3.B1"             4654.318          4707.766181                    5          0.049995104   0.0005170203000996           0.11064593          10.24249271
         "BPM.25R3.B1"        "BPM.26R3.B1"             4707.766          4761.214697                    5           0.13547013   0.0006155237455489           0.13189438          10.35313864
         "BPM.26R3.B1"        "BPM.27R3.B1"             4761.215          4814.663213                    5          0.212717804    0.001467456312797           0.11110175          10.48503302
         "BPM.27R3.B1"        "BPM.28R3.B1"             4814.663          4868.111729                    5          0.095384072    0.001190834817946           0.13229532          10.59613477
         "BPM.28R3.B1"        "BPM.29R3.B1"             4868.112          4921.560245                    5          0.051525718   0.0005757823767786           0.11067664          10.72843009
         "BPM.29R3.B1"        "BPM.30R3.B1"              4921.56          4975.008761                    5          0.114926486   0.0006656926202295           0.13185129          10.83910673
         "BPM.30R3.B1"        "BPM.31R3.B1"             4975.009          5028.457277                    5          0.219850138    0.001715047872098            0.1110675          10.97095802
         "BPM.31R3.B1"        "BPM.32R3.B1"             5028.457          5081.905793                    5          0.106414492    0.001737613621268           0.13233516          11.08202552
         "BPM.32R3.B1"        "BPM.33R3.B1"             5081.906          5135.354309                    5            0.0516997   0.0005815276796717           0.11071372          11.21436068
         "BPM.33R3.B1"        "BPM.34R3.B1"             5135.354          5188.802825                    5           0.09836385   0.0009315578042169           0.13181545           11.3250744
         "BPM.34R3.B1"        "BPM.33L4.B1"             5188.803           5242.25134                    5          0.224012768    0.001480212891554           0.11102745          11.45688985
         "BPM.33L4.B1"        "BPM.32L4.B1"             5242.251          5295.699856                    5          0.118573764     0.00153441800511           0.13236715           11.5679173
         "BPM.32L4.B1"        "BPM.31L4.B1"               5295.7          5349.148372                    5          0.051914974    0.001020568998884           0.11075602          11.70028445
         "BPM.31L4.B1"        "BPM.30L4.B1"             5349.148          5402.596888                    5          0.085332074   0.0007063259538398           0.13178796          11.81104047
         "BPM.30L4.B1"        "BPM.29L4.B1"             5402.597          5456.045404                    5          0.215372598    0.001465996384878           0.11098285          11.94282843
         "BPM.29L4.B1"        "BPM.28L4.B1"             5456.045           5509.49392                    5          0.138773486    0.001535197824134           0.13239028          12.05381128
         "BPM.28L4.B1"        "BPM.27L4.B1"             5509.494          5562.942436                    5          0.054841676    0.001002126144912           0.11080225          12.18620156
         "BPM.27L4.B1"        "BPM.26L4.B1"             5562.942          5616.390952                    5           0.07559017   0.0009744999338531           0.13176966          12.29700381
         "BPM.26L4.B1"        "BPM.25L4.B1"             5616.391          5669.839468                    5           0.20266279    0.000666280123009            0.1109351          12.42877347
         "BPM.25L4.B1"        "BPM.24L4.B1"             5669.839          5723.287984                    5         0.1591217758   0.0007242495109857           0.13240383          12.53970857
         "BPM.24L4.B1"        "BPM.23L4.B1"             5723.288            5776.7365                    5         0.0574578662   0.0003561017833902           0.11085095           12.6721124
         "BPM.23L4.B1"        "BPM.22L4.B1"             5776.736          5830.185015                    5          0.065653748   0.0003676089692355           0.13176114          12.78296335
         "BPM.22L4.B1"        "BPM.21L4.B1"             5830.185          5883.633531                    5        0.18343326058    0.001001234851751           0.11088568          12.91472449
         "BPM.21L4.B1"        "BPM.20L4.B1"             5883.634          5937.082047                    5        0.18524589142   0.0009828331250777           0.13332495          13.02561017
         "BPM.20L4.B1"        "BPM.19L4.B1"             5937.082          5990.530563                    5          0.056798998   0.0007193456885466           0.10806719          13.15893512
         "BPM.19L4.B1"        "BPM.18L4.B1"             5990.531          6043.979079                    5           0.05480384   0.0004845068523977            0.1264409          13.26700231
         "BPM.18L4.B1"        "BPM.17L4.B1"             6043.979          6097.427595                    5           0.13186669    0.001683941033853           0.11006154          13.39344321
         "BPM.17L4.B1"        "BPM.16L4.B1"             6097.428          6150.876111                    5          0.235621626    0.001311524421871           0.13364843          13.50350475
         "BPM.16L4.B1"        "BPM.15L4.B1"             6150.876          6204.324627                    5          0.065124456   0.0007569689582548           0.10890248          13.63715318
         "BPM.15L4.B1"        "BPM.14L4.B1"             6204.325          6257.773143                    5          0.052488546    0.001236329465731            0.1262692          13.74605566
         "BPM.14L4.B1"        "BPM.13L4.B1"             6257.773          6311.221659                    5          0.088479742    0.001282446911347           0.10919032          13.87232486
         "BPM.13L4.B1"        "BPM.12L4.B1"             6311.222          6364.670174                    5          0.258044986    0.001864485812676           0.12968681          13.98151518
         "BPM.12L4.B1"        "BPM.11L4.B1"              6364.67           6418.11869                    5             0.081625   0.0009421559371043           0.09973545          14.11120199
         "BPM.11L4.B1"        "BPM.10L4.B1"             6418.119          6469.957401                    5          0.052701254   0.0006128433692124           0.11473014          14.21093744
         "BPM.10L4.B1"         "BPM.9L4.B1"             6469.957          6509.022412                    5           0.02520917    0.001214036814505           0.05923334          14.32566758
          "BPM.9L4.B1"         "BPM.8L4.B1"             6509.022          6549.485422                    5           0.04944634    0.001344918229779           0.07142139          14.38490092
          "BPM.8L4.B1"         "BPM.7L4.B1"             6549.485          6588.549433                    5           0.06146107    0.001495818336092           0.04254159          14.45632231
          "BPM.7L4.B1"       "BPMYB.6L4.B1"             6588.549          6685.153433                    5           0.16746138    0.001879537194085           0.07510199           14.4988639
        "BPMYB.6L4.B1"       "BPMYA.5L4.B1"             6685.153          6722.153433                    5           0.02855551    0.001078567657338           0.01584168          14.57396589
        "BPMYA.5L4.B1"      "BPMWA.B5L4.B1"             6722.153          6824.619933                    5        0.08434392952    0.001500081423365           0.07534242          14.58980757
       "BPMWA.B5L4.B1"      "BPMWA.A5L4.B1"              6824.62          6833.504933                    5    0.004625830680001   0.0009448360855917    0.006299610000001          14.66514999
       "BPMWA.A5L4.B1"      "BPMWA.A5R4.B1"             6833.505          6881.553933                    5         0.0178688398    0.001330926775802           0.03153804           14.6714496
       "BPMWA.A5R4.B1"      "BPMWA.B5R4.B1"             6881.554          6890.438933                    5    0.002807543999999    0.001146191282543    0.005291659999999          14.70298764
       "BPMWA.B5R4.B1"       "BPMYB.5R4.B1"             6890.439          6992.829433                    5           0.02088489   0.0006153848032405           0.04846171           14.7082793
        "BPMYB.5R4.B1"       "BPMYA.6R4.B1"             6992.829          7024.393433                    5          0.010134208   0.0005892149347783           0.02404894          14.75674101
        "BPMYA.6R4.B1"         "BPM.7R4.B1"             7024.393          7120.909433                    5          0.190928182   0.0007994278755792           0.22957673          14.78078995
          "BPM.7R4.B1"         "BPM.8R4.B1"             7120.909          7158.698443                    5           0.18854052    0.001052788271735            0.0931775          15.01036668
          "BPM.8R4.B1"         "BPM.9R4.B1"             7158.698          7197.763454                    5          0.066964712   0.0006412290531725           0.06592552          15.10354418
          "BPM.9R4.B1"        "BPM.10R4.B1"             7197.763          7238.226465                    5          0.027066764   0.0007294037903035           0.04852459           15.1694697
         "BPM.10R4.B1"        "BPM.11R4.B1"             7238.226          7290.065175                    5           0.06231234    0.001085421425148            0.1458023          15.21799429
         "BPM.11R4.B1"        "BPM.12R4.B1"             7290.065          7344.788691                    5           0.24810193    0.002931001929774           0.18902798          15.36379659
         "BPM.12R4.B1"        "BPM.13R4.B1"             7344.789          7398.237207                    5          0.143353518    0.002690215728001           0.09152513          15.55282457
         "BPM.13R4.B1"        "BPM.14R4.B1"             7398.237          7451.685723                    5          0.043679208   0.0003372181513526           0.06812905           15.6443497
         "BPM.14R4.B1"        "BPM.15R4.B1"             7451.686          7505.134239                    5          0.095943744   0.0005370734134746            0.1967286          15.71247875
         "BPM.15R4.B1"        "BPM.16R4.B1"             7505.134          7558.582755                    5          0.244850182   0.0009297903764421           0.15510929          15.90920735
         "BPM.16R4.B1"        "BPM.17R4.B1"             7558.583          7612.031271                    5          0.114740154   0.0007686452892857           0.08001511          16.06431664
         "BPM.17R4.B1"        "BPM.18R4.B1"             7612.031          7665.479786                    5          0.045023734    0.001893795450761           0.06811833          16.14433175
         "BPM.18R4.B1"        "BPM.19R4.B1"              7665.48          7718.928302                    5           0.09146133    0.001985000472314            0.1966863          16.21245008
         "BPM.19R4.B1"        "BPM.20R4.B1"             7718.928          7772.376818                    5            0.2439875    0.001739176923287           0.15515108          16.40913638
